Date,Time,Open,High,Low,Close,Volume
2014.09.22,00:00,1.63023,1.63675,1.62869,1.63607,96368
2014.09.23,00:00,1.63611,1.64154,1.63028,1.63873,103272
2014.09.24,00:00,1.63875,1.64133,1.63273,1.63388,90601
2014.09.25,00:00,1.63387,1.63419,1.62762,1.63160,107168
2014.09.26,00:00,1.63167,1.63326,1.62378,1.62460,92937
2014.09.29,00:00,1.62357,1.62743,1.62115,1.62403,101955
2014.09.30,00:00,1.62370,1.62871,1.61671,1.62122,112469
2014.10.01,00:00,1.62119,1.62518,1.61611,1.61851,125443
2014.10.02,00:00,1.61851,1.62498,1.61124,1.61437,140015
2014.10.03,00:00,1.61304,1.61585,1.59517,1.59632,109704
2014.10.06,00:00,1.59621,1.60991,1.59537,1.60820,87417
2014.10.07,00:00,1.60826,1.61285,1.60259,1.60959,124947
2014.10.08,00:00,1.60930,1.61815,1.60318,1.61674,137101
2014.10.09,00:00,1.61663,1.62267,1.61039,1.61168,128757
2014.10.10,00:00,1.61168,1.61354,1.60083,1.60760,116026
2014.10.13,00:00,1.60706,1.61263,1.60508,1.60831,108801
2014.10.14,00:00,1.60824,1.60976,1.58971,1.59021,132311
2014.10.15,00:00,1.59014,1.60689,1.58745,1.60187,192130
2014.10.16,00:00,1.60187,1.60969,1.59410,1.60859,183147
2014.10.17,00:00,1.60861,1.61260,1.60289,1.60855,117971
2014.10.20,00:00,1.61031,1.61793,1.60798,1.61628,100416
2014.10.21,00:00,1.61629,1.61840,1.61099,1.61101,124450
2014.10.22,00:00,1.61091,1.61307,1.60113,1.60487,120944
2014.10.23,00:00,1.60485,1.60600,1.59945,1.60288,121387
2014.10.24,00:00,1.60286,1.60987,1.60168,1.60901,122864
2014.10.27,00:00,1.60789,1.61472,1.60771,1.61187,107121
2014.10.28,00:00,1.61188,1.61823,1.60878,1.61299,114988
2014.10.29,00:00,1.61299,1.61614,1.60023,1.60109,116078
2014.10.30,00:00,1.60109,1.60385,1.59506,1.60021,144848
2014.10.31,00:00,1.60000,1.60112,1.59416,1.59956,142011
2014.11.03,00:00,1.59615,1.60254,1.59260,1.59709,139903
2014.11.04,00:00,1.59710,1.60161,1.59652,1.60019,112559
2014.11.05,00:00,1.60017,1.60215,1.58688,1.59751,145088
2014.11.06,00:00,1.59752,1.60020,1.58244,1.58303,159650
2014.11.07,00:00,1.58303,1.58864,1.57900,1.58685,152674
2014.11.10,00:00,1.58686,1.59172,1.58408,1.58415,109544
2014.11.11,00:00,1.58415,1.59447,1.58350,1.59171,114789
2014.11.12,00:00,1.59171,1.59403,1.57757,1.57773,154807
2014.11.13,00:00,1.57779,1.57814,1.56935,1.57100,122150
2014.11.14,00:00,1.57103,1.57107,1.55925,1.56670,145537
2014.11.17,00:00,1.56782,1.57361,1.56196,1.56399,125110
2014.11.18,00:00,1.56399,1.56788,1.56299,1.56316,121787
2014.11.19,00:00,1.56323,1.57208,1.55897,1.56815,134934
2014.11.20,00:00,1.56816,1.57377,1.56318,1.56910,155602
2014.11.21,00:00,1.56909,1.57139,1.56257,1.56594,179275
2014.11.24,00:00,1.56354,1.57145,1.56283,1.57055,128043
2014.11.25,00:00,1.57049,1.57357,1.56486,1.57066,147912
2014.11.26,00:00,1.57073,1.58059,1.56791,1.57907,147491
2014.11.27,00:00,1.57906,1.58257,1.57166,1.57355,122843
2014.11.28,00:00,1.57354,1.57394,1.56140,1.56378,153766
2014.12.01,00:00,1.56415,1.57639,1.55850,1.57290,170554
2014.12.02,00:00,1.57290,1.57427,1.56316,1.56363,142452
2014.12.03,00:00,1.56362,1.57192,1.56191,1.56853,154653
2014.12.04,00:00,1.56857,1.57259,1.56440,1.56726,169587
2014.12.05,00:00,1.56725,1.56952,1.55687,1.55787,165990
2014.12.08,00:00,1.55711,1.56790,1.55411,1.56507,158151
2014.12.09,00:00,1.56507,1.57171,1.56257,1.56657,182124
2014.12.10,00:00,1.56653,1.57188,1.56472,1.57154,173817
2014.12.11,00:00,1.57153,1.57572,1.56521,1.57305,189238
2014.12.12,00:00,1.57311,1.57467,1.56946,1.57070,170745
2014.12.15,00:00,1.57193,1.57470,1.56012,1.56367,163696
2014.12.16,00:00,1.56369,1.57857,1.56107,1.57484,178392
2014.12.17,00:00,1.57482,1.57535,1.55435,1.55733,191160
2014.12.18,00:00,1.55734,1.56773,1.55488,1.56677,170024
2014.12.19,00:00,1.56680,1.56819,1.56050,1.56270,153117
2014.12.22,00:00,1.56229,1.56651,1.55728,1.55889,98716
2014.12.23,00:00,1.55885,1.56080,1.54858,1.55195,124526
2014.12.24,00:00,1.55200,1.55648,1.55039,1.55551,99430
2014.12.26,00:00,1.55460,1.55678,1.55368,1.55519,100988
2014.12.29,00:00,1.55628,1.55858,1.55071,1.55150,112461
2014.12.30,00:00,1.55152,1.55734,1.55005,1.55597,124189
2014.12.31,00:00,1.55600,1.56201,1.55489,1.55870,118662
2015.01.02,00:00,1.55780,1.55869,1.53260,1.53282,150531
2015.01.05,00:00,1.52667,1.53194,1.51598,1.52483,157636
2015.01.06,00:00,1.52483,1.52738,1.51412,1.51507,160059
2015.01.07,00:00,1.51503,1.51553,1.50547,1.51098,170193
2015.01.08,00:00,1.51090,1.51176,1.50343,1.50889,135657
2015.01.09,00:00,1.50888,1.51757,1.50772,1.51551,158439
2015.01.12,00:00,1.51760,1.51942,1.50987,1.51712,133772
2015.01.13,00:00,1.51712,1.51917,1.50772,1.51579,161923
2015.01.14,00:00,1.51581,1.52692,1.51448,1.52303,186992
2015.01.15,00:00,1.52315,1.52671,1.51500,1.51785,206196
2015.01.16,00:00,1.51790,1.52348,1.50748,1.51490,202010
2015.01.19,00:00,1.51302,1.51789,1.51080,1.51109,124184
2015.01.20,00:00,1.51106,1.51993,1.50571,1.51424,131826
2015.01.21,00:00,1.51426,1.51793,1.50759,1.51413,148847
2015.01.22,00:00,1.51426,1.52119,1.49722,1.50087,170554
2015.01.23,00:00,1.50086,1.50358,1.49509,1.49892,183258
2015.01.26,00:00,1.49983,1.51036,1.49866,1.50771,148607
2015.01.27,00:00,1.50700,1.52236,1.50594,1.51962,153987
2015.01.28,00:00,1.51964,1.52190,1.51308,1.51346,143770
2015.01.29,00:00,1.51345,1.51625,1.50180,1.50640,134229
2015.01.30,00:00,1.50646,1.50958,1.49887,1.50799,128861
2015.02.02,00:00,1.50933,1.50977,1.50054,1.50386,117425
2015.02.03,00:00,1.50386,1.51980,1.49880,1.51654,139429
2015.02.04,00:00,1.51662,1.52506,1.51389,1.51753,144296
2015.02.05,00:00,1.51741,1.53434,1.51650,1.53271,146814
2015.02.06,00:00,1.53259,1.53525,1.52110,1.52371,135276
2015.02.09,00:00,1.52200,1.52673,1.52009,1.52152,118829
2015.02.10,00:00,1.52148,1.52758,1.51965,1.52537,123116
2015.02.11,00:00,1.52528,1.52996,1.52186,1.52308,116294
2015.02.12,00:00,1.52308,1.54147,1.52089,1.53832,155028
2015.02.13,00:00,1.53827,1.54219,1.53706,1.53856,125522
2015.02.16,00:00,1.54185,1.54402,1.53390,1.53638,111081
2015.02.17,00:00,1.53638,1.54023,1.53161,1.53517,107002
2015.02.18,00:00,1.53522,1.54798,1.53414,1.54358,123314
2015.02.19,00:00,1.54358,1.54647,1.54038,1.54126,113009
2015.02.20,00:00,1.54133,1.54339,1.53435,1.53965,140137
2015.02.23,00:00,1.53937,1.54744,1.53324,1.54561,109447
2015.02.24,00:00,1.54567,1.54738,1.54016,1.54520,121992
2015.02.25,00:00,1.54520,1.55383,1.54464,1.55269,112850
2015.02.26,00:00,1.55272,1.55520,1.53941,1.54046,132894
2015.02.27,00:00,1.54046,1.54585,1.53841,1.54313,130848
2015.03.02,00:00,1.54153,1.54284,1.53513,1.53646,96753
2015.03.03,00:00,1.53641,1.53973,1.53446,1.53578,99824
2015.03.04,00:00,1.53568,1.53716,1.52519,1.52635,114437
2015.03.05,00:00,1.52636,1.52696,1.52151,1.52380,119621
2015.03.06,00:00,1.52401,1.52559,1.50318,1.50324,133405
2015.03.09,00:00,1.50337,1.51368,1.50312,1.51273,106064
2015.03.10,00:00,1.51273,1.51304,1.50283,1.50661,157279
2015.03.11,00:00,1.50660,1.50962,1.48933,1.49273,187723
2015.03.12,00:00,1.49271,1.50273,1.48499,1.48814,166434
2015.03.13,00:00,1.48810,1.48968,1.46992,1.47377,154709
2015.03.16,00:00,1.47402,1.48530,1.47317,1.48270,128074
2015.03.17,00:00,1.48282,1.48450,1.47239,1.47477,130137
2015.03.18,00:00,1.47486,1.51646,1.46349,1.49767,173855
2015.03.19,00:00,1.49773,1.50098,1.46878,1.47505,196706
2015.03.20,00:00,1.47498,1.49890,1.47219,1.49414,171038
2015.03.23,00:00,1.49691,1.49896,1.48385,1.49511,171530
2015.03.24,00:00,1.49511,1.49844,1.48424,1.48490,153892
2015.03.25,00:00,1.48490,1.49542,1.48309,1.48800,137699
2015.03.26,00:00,1.48803,1.49936,1.48068,1.48472,158699
2015.03.27,00:00,1.48469,1.49215,1.47964,1.48687,149549
2015.03.30,00:00,1.48845,1.49008,1.47525,1.48095,122365
2015.03.31,00:00,1.48096,1.48712,1.47552,1.48155,140646
2015.04.01,00:00,1.48146,1.48714,1.47395,1.48235,152218
2015.04.02,00:00,1.48235,1.48681,1.47759,1.48276,126800
2015.04.03,00:00,1.48276,1.49449,1.48100,1.49103,77679
2015.04.06,00:00,1.49128,1.49812,1.48708,1.48782,73425
2015.04.07,00:00,1.48782,1.49202,1.48028,1.48075,130458
2015.04.08,00:00,1.48074,1.49724,1.48062,1.48677,135866
2015.04.09,00:00,1.48676,1.48858,1.46842,1.47123,122026
2015.04.10,00:00,1.47123,1.47245,1.45868,1.46278,129148
2015.04.13,00:00,1.46192,1.46812,1.45655,1.46744,132200
2015.04.14,00:00,1.46745,1.48016,1.46035,1.47804,148118
